Date,聯電,鴻海,台積電,聯發科
2006-01-02,10.484784126281738,33.489418029785156,29.321897506713867,132.2545928955078
2006-01-03,10.60000228881836,34.319740295410156,30.235210418701172,132.75238037109375
2006-01-04,10.542394638061523,36.16488265991211,30.475549697875977,128.76980590820312
2006-01-05,10.427177429199219,37.456485748291016,30.763959884643555,130.42922973632812
2006-01-06,10.513588905334473,36.90293502807617,31.484994888305664,122.79597473144531
2006-01-09,10.85924243927002,36.533912658691406,32.73476791381836,121.13655853271484
2006-01-10,10.686417579650879,36.34939956665039,32.06181335449219,118.48152160644531
2006-01-11,10.686417579650879,36.533912658691406,31.629186630249023,119.9749526977539
2006-01-12,10.657608985900879,39.024871826171875,31.484994888305664,116.15833282470703
2006-01-13,10.513588905334473,38.9326057434082,31.004304885864258,115.16270446777344
2006-01-16,10.686417579650879,41.51580047607422,30.71588897705078,115.16270446777344
2006-01-17,10.801633834838867,40.77775955200195,31.05238151550293,116.32428741455078
2006-01-18,10.283156394958496,38.74809265136719,29.610315322875977,111.34605407714844
2006-01-19,10.484784126281738,38.37906265258789,29.802589416503906,108.02728271484375
2006-01-20,10.455979347229004,38.655826568603516,30.042926788330078,107.86131286621094
2006-01-23,10.311958312988281,38.655826568603516,29.706451416015625,108.52508544921875
2006-01-24,10.398371696472168,38.56357192993164,29.7545223236084,109.18885803222656
2006-01-25,10.455979347229004,39.670658111572266,30.52362060546875,106.0359878540039
2006-02-03,10.254349708557129,38.84034729003906,30.475549697875977,109.18885803222656
2006-02-06,10.36956787109375,39.024871826171875,31.96567726135254,111.18011474609375
2006-02-07,10.686417579650879,39.301631927490234,31.244653701782227,111.51201629638672
2006-02-08,10.484784126281738,39.117122650146484,30.331335067749023,111.18011474609375
2006-02-09,10.484784126281738,39.48614501953125,30.283273696899414,110.01853942871094
2006-02-10,10.542394638061523,38.37906265258789,30.091001510620117,106.36785125732422
2006-02-13,10.311958312988281,36.995201110839844,29.994861602783203,108.85697937011719
2006-02-14,10.311958312988281,37.271968841552734,29.94678497314453,110.35043334960938
2006-02-15,10.139131546020508,37.271968841552734,29.46611213684082,114.16706085205078
2006-02-16,10.830437660217285,38.9326057434082,29.994861602783203,114.49894714355469
2006-02-17,11.003263473510742,38.4713249206543,29.65837287902832,112.83954620361328
2006-02-20,11.032069206237793,38.655826568603516,30.13906478881836,112.83954620361328
2006-02-21,10.945656776428223,38.01003646850586,29.85066032409668,111.84387969970703
2006-02-22,10.7728271484375,37.364234924316406,29.7545223236084,108.85697937011719
