Date,聯電,鴻海,台積電,聯發科
2006-01-03,0.01098908295572909,0.024793571058371988,0.031147810668739284,0.0037638577586429633
2006-01-04,-0.005434682860173012,0.05376329624349507,0.007948986491132626,-0.030000022988347252
2006-01-05,-0.01092894098712005,0.03571428948145372,0.009463658231821048,0.012886746364345392
2006-01-06,0.008287139709858282,-0.014778501216978102,0.02343765257677477,-0.058524113193905825
2006-01-09,0.03287683559323562,-0.009999810830873201,0.039694242604971564,-0.013513604190687922
2006-01-10,-0.01591500149164715,-0.005050460753130426,-0.02055779228671717,-0.021917717974070494
2006-01-11,0.0,0.005076097383746037,-0.01349352014060512,0.012604759552879985
2006-01-12,-0.0026958139652766278,0.06818210769680233,-0.00455881915741263,-0.031811805607974475
2006-01-13,-0.013513357522961567,-0.0023642891942003974,-0.01526727268486705,-0.008571303777543782
2006-01-16,0.016438599214081417,0.06635041974048672,-0.009302447188389462,0.0
2006-01-17,0.010781560268371182,-0.017777350204233766,0.0109549991766007,0.01008645074936032
2006-01-18,-0.04799990888490491,-0.049773869946102,-0.04643979373714058,-0.042796164481637144
2006-01-19,0.019607572186891353,-0.009523823587901825,0.006493483488147378,-0.029805918043626423
2006-01-20,-0.0027472934784160685,0.007211325574074667,0.008064311743766872,-0.001536369743474153
2006-01-23,-0.01377403583710124,0.0,-0.011199820000398653,0.006153944962927982
2006-01-24,0.008379919784493817,-0.002386564894897525,0.0016181975733007281,0.006116305555164958
2006-01-25,0.0055400645830328,0.028708081908287886,0.0258481138932658,-0.02887538376206944
2006-02-03,-0.01928366841364415,-0.020930099500693577,-0.0015748756746164494,0.029733963365001115
2006-02-06,0.011236028203765347,0.0047508467098629215,0.04889583873791192,0.01823681234288088
2006-02-07,0.030555729273963328,0.00709189007848976,-0.02255617966968748,0.002985260008509183
2006-02-08,-0.018868198988694962,-0.004694697606556386,-0.02923119720738354,-0.0029763747559797826
2006-02-09,0.0,0.009433781024366317,-0.001584545182144459,-0.010447689499471613
2006-02-10,0.005494677914767543,-0.02803723600761121,-0.006349121571324168,-0.03318248170120697
2006-02-13,-0.021858062896003783,-0.0360577212183355,-0.0031949720185612263,0.023401131858641122
2006-02-14,0.0,0.007481179244942515,-0.0016028288536664714,0.013719414116888151
2006-02-15,-0.016759839568987744,0.0,-0.016050899511742767,0.034586429673091335
2006-02-16,0.06818198492237793,0.04455457958003284,0.01794432409294,0.0029070231731198604
2006-02-17,0.015957417300714205,-0.01184818775794394,-0.011218212246182246,-0.01449271789251394
2006-02-20,0.0026179262903589517,0.004795822559523044,0.01620762918285168,0.0
2006-02-21,-0.00783283971430404,-0.016706151631541433,-0.009569124547908259,-0.008823737221608674
2006-02-22,-0.01578979055536589,-0.01699029004417152,-0.0032206322890175887,-0.026705979241863353
2006-02-23,0.0026740136089109523,-0.01728415354662316,-0.017771031027749573,-0.027439248752216705
2006-02-24,0.015999881338480737,0.017588149828866362,0.0032896917986842134,0.02821340334473965
2006-02-27,0.005249508279517867,0.01728394935685329,-0.0016391598868128465,0.02286555002200008
2006-03-01,0.002610658419291312,-0.024272230024117603,-0.008210298203274458,0.041728888234145334
2006-03-02,0.010416735822733392,0.03980116952327517,0.038079389385391904,-0.02432048555595223
2006-03-03,0.007731817569757382,-0.019138886138371447,-0.014353908319120645,0.001466400307464033
2006-03-06,0.007673003298083181,0.007317464271415108,-0.014563071887703227,0.026354267535175113
2006-03-07,-0.02538099773432423,-0.0072643079574797875,-0.0131363728765852,-0.024251096471882727
2006-03-08,-0.020833126763264098,-0.026829088730733863,-0.018303013065101514,-0.02046796204422585
2006-03-09,0.0,0.005012591065007177,0.01355968132798524,0.0059701769073465805
2006-03-10,0.01861711893335083,-0.0049875903143614675,0.02675555702418886,-0.010385753336669912
2006-03-13,0.013054588781101772,-0.005012487434842505,0.0,0.028485767559202735
2006-03-14,-0.020618265517692747,0.0,-0.022801453231713786,-0.021865939332344708
2006-03-15,0.007894677457424226,0.007556452329369856,0.018333919930946907,0.05216121307218202
2006-03-16,-0.00261109064750642,0.017500211652342612,-0.009820352561677681,0.01416427052811775
2006-03-17,0.007853172167417544,-0.009828126647714819,0.003306003563954052,0.029329722836350713
2006-03-20,0.0,-0.007444258097163314,-0.008237611371832432,0.0013567799853586582
2006-03-21,-0.007791980403781595,-0.014999767931863528,0.004983554034399429,-0.04065067849251791
2006-03-22,-0.00785360552717429,-0.055837491002255546,-0.01487567152070135,0.0014126795031270678
2006-03-23,0.0,0.010752592557682794,0.0,0.004231281798244835
2006-03-24,0.0,-0.005319212109988647,0.003355592322096923,0.002809033566792074
2006-03-27,0.021108320022154015,0.013368811913479606,0.008361190365332005,0.008403301821488185
2006-03-28,0.007752052717243663,0.02374677122113411,0.01824184313578403,0.001388942989544839
2006-03-29,0.010256475994888437,0.010309402496913034,0.008143570028705138,0.03606089863951745
2006-03-30,0.010152180610043526,0.012755148592249244,0.016155127273254077,-0.012048047427758002
2006-03-31,0.030150698589095803,0.012594191367842678,0.020667793846034677,0.017615051047203067
2006-04-03,0.03170738187244493,0.01741304380919151,0.009345605507879995,0.0
2006-04-04,0.0,-0.007334849375416175,-0.004629659396167662,0.001331671070878615
2006-04-06,0.014184527614991227,0.012315112150502516,0.021705382005803076,0.010638283563163764
2006-04-07,0.0023308819789760182,0.01459891759637788,0.022761667412290798,-0.013158104083594857
2006-04-10,0.009302154397499374,-0.01678696546870917,-0.005934404001027627,-0.005333419319971555
2006-04-11,-0.03917025045350897,-0.004878006964691428,-0.013432920147864125,0.010724157674195212
2006-04-12,-0.023981006891369505,0.019608079607100537,0.010589962455013646,0.013262566635706685
2006-04-13,-0.0049140776676125375,0.007211325574074667,0.005988299969563071,-0.02617830758488371
2006-04-14,0.041975524421215216,0.016706546366059172,0.011904480728215816,0.016129109005507347
2006-04-17,-0.004739484482109146,-0.004694697606556386,-0.0029413120541510462,-0.034391360954057815
2006-04-18,0.004762054163922169,-0.009433976064134542,0.001475052970577817,0.0041095603110568035
2006-04-19,0.018957310275672157,0.021428627684940693,0.02209121900546318,-0.0013641842577690744
2006-04-20,-0.0023254616024341868,0.025640845231287512,0.007204657910538259,0.010929010486202317
2006-04-21,0.0349646188600472,0.027272676868641543,-0.008583633002658297,0.04999977011657086
2006-04-24,0.013513939766784944,-0.0132743124015402,-0.015873232180203534,0.0038610957033624604
2006-04-25,-0.028889162587309447,-0.022421514685972976,-0.017594959171265412,-0.010256456807432812
2006-04-26,0.020595044212601055,0.018348748270905046,0.029850222981807617,-0.04663198086416653
2006-04-27,-0.033632115723025824,-0.027027346679502018,-0.02608632844798131,-0.001358748529573739
2006-04-28,0.03016200822662385,0.002315130094939777,0.013392230822100615,0.013605409410846647
2006-05-02,0.0,-0.004618801351912283,-0.013215249155044684,-0.006711300879302717
